"model","RMSE","MAE","R2","time"
"Linear_ATC_1",2.98244795453532,2.31403786519897,0.836628062950715,2026-02-24 10:21:55.808397
"Linear_ATC_2",1.95415426833298,1.55304691622229,0.929862642053221,2026-02-24 10:21:55.954796
"Linear_ATC_3",1.89190294881174,1.4941370891702,0.934260042470432,2026-02-24 10:21:55.962735
"Linear_ATC_4",1.47128349252399,1.17108780466835,0.960242008588598,2026-02-24 10:21:55.980876
"Linear_ATC_5",1.32459848962918,1.03516469388843,0.967774458631662,2026-02-24 10:21:56.000753
"Linear_MID_1",4.9088510184002,3.80268424798911,0.555356956578632,2026-02-24 10:21:56.038597
"Linear_MID_2",2.92684065788605,2.29508778984298,0.84192981649681,2026-02-24 10:21:56.050547
"Linear_MID_3",2.2604906807486,1.77108842396266,0.905711822658314,2026-02-24 10:21:56.062817
"Linear_MID_4",1.84715501212992,1.45161090681158,0.93704090391562,2026-02-24 10:21:56.081894
"Linear_MID_5",1.68119093693804,1.33721661331293,0.947846209395749,2026-02-24 10:21:56.113806
"RF_ATC",1.47541024756652,1.15478448652856,0.960018664016654,2026-02-24 10:22:00.102707
"RF_MID",1.50839975573667,1.17185732147323,0.958015913749263,2026-02-24 10:22:01.700392
"XGB_ATC",1.5225685390016,1.19195410697308,0.957421984641407,2026-02-24 10:22:04.401925
"XGB_MID",1.57218624668007,1.22713430966995,0.954390030235951,2026-02-24 10:22:04.669536
"LASSO_ATC",1.47473058803297,1.17379982546133,0.96005549097691,2026-02-24 10:22:04.793348
"LASSO_MID",1.68005880465173,1.33685463001936,0.947916427606102,2026-02-24 10:22:05.089852
